-0.632,-1.2,-0.5,-0.465,-1,-4.82,-5.81,-0.424,-1.27,-0.992
-0.723,-1.07,-0.879,-0.258,-0.804,-4.71,-6.82,-0.142,-1.11,-0.745
-0.667,-1.3,-1.1,-0.16,-0.839,-4.23,-5.32,-0.555,-1.21,-1.1
-0.566,-0.988,-0.264,0.117,-0.743,-3.72,-5.69,-0.0299,-1.66,-0.396
-0.596,-0.925,-0.02,-0.0809,-0.633,-4.25,-4.78,-0.398,-0.948,-0.339
-0.918,-1.13,0.398,-0.45,-0.727,-4.38,-6.01,-0.0509,0.572,-0.479
-0.517,-1.21,0.132,0.0385,-0.634,-3.93,-5.48,0.0104,-0.243,-0.132
-0.937,-1.12,-0.644,-0.429,-1.25,-4.6,-6.02,-0.1,-0.805,-0.796
-0.39,-0.922,-0.802,0.314,-0.759,-3.64,-4.78,0.153,-0.0322,-0.393
-1.12,-1.16,-1.5,-0.269,-0.974,-5.63,-6.87,0.339,-0.552,-1.13
-0.548,-1.08,0.11,0.104,-0.799,-3.8,-4.98,0.248,-0.718,-1.32
-0.641,-0.932,-0.183,-0.0867,-0.741,-4.49,-5,-0.0789,-0.762,-0.613
-0.744,-0.969,-0.557,-0.175,-0.952,-4.72,-5.84,-0.0483,-1.06,-1.55
-0.765,-1.1,-0.515,-0.167,-0.698,-4.43,-5.72,0.0636,-0.662,-0.822
-0.681,-0.848,-0.034,-0.191,-0.643,-3.86,-5.4,0.136,-1.37,-0.191
-1.04,-1.28,-0.712,-0.389,-1.01,-4.5,-4.99,-0.133,-0.43,-1.62
-0.787,-1.12,-0.188,0.0635,-1.02,-4.28,-5.84,-0.239,-0.0417,-0.278
-0.818,-1.14,0.0898,0.155,-0.994,-4.29,-4.87,-0.324,-0.853,-0.792
-0.775,-0.751,-0.425,-0.00968,-0.814,-4.75,-4.53,0.125,-0.956,-0.691
-0.964,-0.9,-0.0694,-0.579,-0.612,-4.05,-5.95,-0.506,-0.341,-2.1
-0.885,-1.01,-0.16,0.215,-0.702,-4.26,-6.7,0.341,-1.12,-0.982
-0.794,-0.958,0.183,-0.14,-0.769,-4.88,-5.7,0.167,-0.599,-0.56
-0.716,-1.23,-0.316,0.129,-1.11,-5.53,-5.96,-0.47,-0.172,-0.628
-0.651,-0.857,-0.586,-0.0573,-0.627,-3.33,-4.97,0.56,-0.469,-1.03
-0.847,-1.1,-0.652,-0.00896,-0.653,-4.42,-5.78,-0.585,-0.638,0.0485
-1.05,-1.63,-1.16,0.0832,-1.11,-4.59,-5.58,-0.362,-0.733,-0.942
-0.778,-1.01,-1.06,-0.326,-1.02,-4.61,-6.01,-0.556,-0.89,-0.899
-0.989,-1.05,-0.316,0.0772,-0.907,-5.26,-5.94,0.708,-0.62,-0.469
-1.3725,-1.873,-0.86744,-0.11237,-1.5027,-7.6615,-9.9605,-0.28525,-1.2655,-1.4081
-1.1093,-1.5735,-0.58618,-0.0083967,-1.2497,-6.3392,-8.1954,-0.067941,-0.89909,-1.0676
-0.88982,-1.2089,-0.60702,-0.052155,-0.96795,-4.9185,-6.4321,-0.14042,-0.85379,-0.95538
-1.1251,-1.5285,-0.72558,-0.08335,-1.2294,-6.2666,-8.1791,-0.21411,-1.0573,-1.1742
-1.0562,-1.4608,-0.63768,-0.066739,-1.1614,-5.9956,-7.8322,-0.20893,-1.0003,-1.1303
-1.1184,-1.5929,-0.61905,0.0018757,-1.2689,-6.4671,-8.3104,-0.047674,-0.93162,-1.0424
-1.1062,-1.5132,-0.73921,-0.076637,-1.2076,-6.1882,-8.0837,-0.20312,-1.0602,-1.1736
-1.2703,-1.7478,-0.73595,-0.092208,-1.3896,-7.1487,-9.3457,-0.25256,-1.1692,-1.3496
-0.75051,-1.0678,-0.40608,0.0086315,-0.8463,-4.3387,-5.6049,-0.027628,-0.6483,-0.70157
